code,name,city,country,lat,lon
IST,Istanbul Airport,Istanbul,TR,41.2753,28.7519
SAW,Sabiha Gokcen,Istanbul,TR,40.8986,29.3092
ESB,Esenboga,Ankara,TR,40.1281,32.9951
AYT,Antalya Airport,Antalya,TR,36.8987,30.8005
ADB,Adnan Menderes,Izmir,TR,38.2924,27.157
FRA,Frankfurt am Main,Frankfurt,DE,50.0379,8.5622
AMS,Schiphol,Amsterdam,NL,52.3105,4.7683
CDG,Charles de Gaulle,Paris,FR,49.0097,2.5479
LHR,Heathrow,London,GB,51.47,-0.4543
VIE,Vienna International,Vienna,AT,48.1103,16.5697
MAD,Adolfo Suarez Barajas,Madrid,ES,40.4719,-3.5626
JFK,John F. Kennedy Intl,New York,US,40.6413,-73.7781
ORD,O'Hare International,Chicago,US,41.9742,-87.9073
DXB,Dubai International,Dubai,AE,25.2532,55.3657
DOH,Hamad International,Doha,QA,25.2731,51.6081
BKK,Suvarnabhumi,Bangkok,TH,13.69,100.7501
NRT,Narita International,Tokyo,JP,35.772,140.3929
SIN,Changi,Singapore,SG,1.3644,103.9915
