flightNo,airlineCode,tailNumber,aircraftType,from,to,schedDep,schedArr,actualDep,actualArr,econSeats,busSeats,econPax,busPax,cargoKg,cargoCapacityKg,paxRevenueUsd,ancillaryRevenueUsd,cargoRevenueUsd,crewCostUsd,ownershipCostUsd,maintenanceCostUsd,overheadCostUsd,navCostUsd,airportCostUsd,fuelKg,distanceKm
TK1103,TK,TC-NBA,A20N,IST,FRA,2026-04-15T11:30,2026-04-15T14:25,2026-04-15T11:45,2026-04-15T14:32,168,12,138,8,850,2500,32724,2628,406,3879,5542,2479,1021,1895,3448,5351,1870
TK1203,TK,TC-NBB,A20N,IST,AMS,2026-03-15T12:00,2026-03-15T15:25,2026-03-15T12:06,2026-03-15T15:38,168,12,138,8,816,2500,34344,2628,463,4544,6492,2904,1196,2196,3195,6181,2200
TK1301,TK,TC-JHA,B738,IST,CDG,2026-03-15T06:10,2026-03-15T09:35,2026-03-15T06:28,2026-03-15T09:43,151,14,124,10,900,2500,33110,2412,518,4544,5467,2733,1196,2337,3322,7228,2240
TK1403,TK,TC-JHB,B738,IST,LHR,2026-03-15T11:45,2026-03-15T15:30,2026-03-15T12:16,2026-03-15T16:03,151,14,124,10,810,2500,36652,2412,524,4988,6000,3000,1312,2971,5282,7997,2500
TK1501,TK,TC-NBC,A20N,IST,VIE,2026-03-15T06:30,2026-03-15T08:40,2026-03-15T06:34,2026-03-15T08:28,168,12,138,8,680,2500,28350,2628,216,2882,4117,1842,758,1200,2594,3878,1250
TK1601,TK,TC-JHC,B738,IST,MAD,2026-03-15T07:00,2026-03-15T11:05,2026-03-15T07:04,2026-03-15T10:58,151,14,124,10,756,2500,36190,2412,531,5431,6533,3267,1429,2582,2341,8598,3450
TK2103,TK,TC-JNA,A333,IST,DXB,2026-03-15T10:30,2026-03-15T14:40,2026-03-15T11:02,2026-03-15T15:14,261,28,214,19,1125,15000,75800,4194,8858,10500,17500,6667,1458,3997,6088,19945,3000
TK2201,TK,TC-JNB,A333,IST,DOH,2026-03-15T06:00,2026-03-15T09:50,2026-03-15T06:20,2026-03-15T10:16,261,28,214,19,10200,15000,69105,4194,7309,9660,16100,6133,1342,3517,5424,18364,2500
TK3101,TK,TC-LJA,B77W,IST,JFK,2026-03-15T08:00,2026-03-15T18:00,2026-03-15T08:01,2026-03-15T18:02,300,49,246,33,123,25000,256875,5022,43228,33600,60000,22000,3500,15323,14179,63537,8051
TK3103,TK,TC-LLA,B789,IST,JFK,2026-03-15T13:30,2026-03-15T23:30,2026-03-15T13:46,2026-03-15T23:45,230,30,221,20,10880,18000,200625,4338,29692,26600,50000,17000,3500,13026,10594,45919,8051
TK3201,TK,TC-LLB,B789,IST,ORD,2026-03-15T09:00,2026-03-15T19:55,2026-03-15T09:01,2026-03-15T19:54,230,30,221,20,10400,18000,199020,4338,31069,29038,54583,18558,3821,13862,9452,50022,8983
